f	page	initiator	type	public/private	preciseLoc	comments	subject	recipient	present
530	91	Monsieur d'Anville	verbal exchange narrated by the narrator	unspecified	Court		Mme de Clèves	Le Roi (Henri II)	unspecified
531	91	Le Roi (Henri II)	verbal exchange narrated by the narrator	unspecified	Court		Mme de Clèves, Le Prince de Montpensier	Monsieur d'Anville	unspecified
532	91	La Dauphine	"Quoted" conversation	unspecified	Court		Valentinois, Catherine de Médicis	Mme de Clèves	unspecified
533	92	Mme de Clèves	non-verbal exchange narrated by the narrator	unspecified	Court		La Dauphine	La Dauphine	unspecified
534	93	M. de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	chez les Reines		Mme de Clèves	Mme de Clèves	La cour
535	93	M. de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	chez les reines		Mme de Chartres	Mme de Clèves	La cour
536	93	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	quarters of the queens		M. de Clèves	M. de Clèves	La cour
537	93	Mme de Clèves	verbal exchange narrated by the narrator	Private	Location unspecified		M. de Clèves	Mme de Chartres	No one else present
538	93	Mme de Chartres	verbal exchange narrated by the narrator	Private	Location unspecified		M. de Clèves	Mme de Clèves	No one else present
539	94	Mme de Clèves	verbal exchange narrated by the narrator	Private	Location unspecified		M. de Clèves	Mme de Chartres	No one else present
540	94	M. de Clèves	verbal exchange narrated by the narrator	"il fit parler íæ Mme de Chartres" (p.94)	Court		Mme de Clèves	Mme de Chartres	La cour
541	94	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Mme de Chartres, M. de Clèves	Le Roi (Henri II)	La cour
542	94	M. de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves	Mme de Clèves	No one else present
543	94	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves	M. de Clèves	No one else present
544	95	Chevalier Guise	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Mme de Clèves	No one else present
545	95	Mme de Clèves	verbal exchange narrated by the narrator	Private	Location unspecified		Chevalier Guise	Mme de Chartres	No one else present
546	96	Mme de Chartres	verbal exchange narrated by the narrator	Private	Location unspecified		Mme de Clèves, M. de Clèves	Mme de Clèves	No one else present
547	96	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Chez Mme de Chartres		Mme de Clèves, Mme de Chartres, M. de Clèves, Chevalier Guise, La cour	Mme de Clèves, Mme de Chartres, M. de Clèves	La cour
548	96	Italian jewler	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Le M. de saint-Andrí© [...] í©tait touchí© de sa beautí© sans oser le lui faire paraí¬tre que par des soins et des devoirs" (96).	Mme de Clèves	Mme de Clèves	La cour
549	96	Hommes jeunes et galants	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	"la voyaient chez elle et chez le Duc de Nevers, son beau-frere dont la maison í©tait ouverte íæ tout le monde"(96)		Mme de Clèves	Mme de Clèves	La cour
550	97	Hommes jeunes et galants	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"plusieurs autres [hommes] í©taient dans le míÈme í©tat" [de lui faire des soins et des devoirs]" (97)	Mme de Clèves	Mme de Clèves	La cour
551	97	Mme de Chartres	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Mme de Chartres "joignait íæ la sagesse de sa fille une conduite si exacte pour toutes les binsí©ances qu'elle achevaient de la faire paraitre une personne oí_ l'on ne pouvait atteindre" (97)	Mme de Chartres	Mme de Clèves	La cour
552	97	La Duchesse de Lorraine	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	La Duchesse de Lorraine[...] avait aussi travaillí© pour le marriage du Duc de Lorraine son fils" (97)	Le Duc de Lorraine	Le Duc de Lorraine	La cour
553	97	Lignerolles	exchange of objects	Private	Abroad	A Bruxelles, Nemous recoit la lettre de Lignerolles (97)	Nemours, Elizabeth (Reine d'Angleterre)	Nemours	No one else present
554	97	Nemours	exchange of objects	Il en [des courriers] recevait ou y renvoyait continuellement des courriers" (97)	Abroad	From Bruxelles	Elizabeth (Reine d'Angleterre)	Elizabeth (Reine d'Angleterre)	unspecified
555	97	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elizabeth (Reine d'Angleterre)	Le Roi (Henri II)	unspecified
556	97	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elizabeth (Reine d'Angleterre)	Nemours	unspecified
557	97	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"[Nemours] il alla chez les Reines" (p.97)	Nemours	La Dauphine, Catherine de Médicis, Marguerite de France	La cour
558	97	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Mme de Clèves	La cour
559	97	La Dauphine	verbal exchange narrated by the narrator	uncertain	Location unspecified	Madame la Dauphine le lui [Nemours] avait dí©peint d'une sorte, et lui en avait parlí© tant de fois, qu'elle lui avait donní© de la curiosití©, et míÈme de l'impatience de la voir" (98)	Nemours	Mme de Clèves	unspecified
560	98	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"on admira sa beautí© et sa parure" (98). 	Mme de Clèves	La cour	La cour
561	98	Mme de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"elle dansait avec Monsieur de Guise" (98)	Mme de Clèves	M. de Guise	La cour
562	98	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Nemours	Mme de Clèves	La cour
563	98	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	FIRST ENCOUNTER	Mme de Clèves	Mme de Clèves	La cour
564	98	impersonal character	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Nemours	La cour	La cour
565	98	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Nemours	La Dauphine, Catherine de Médicis, Marguerite de France	La cour
566	98	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Nemours	Mme de Clèves, Nemours	La Dauphine, Catherine de Médicis, Marguerite de France, La cour
567	98	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves	Mme de Clèves, La Dauphine	La cour
568	98	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Nemours	Nemours	La cour
569	99	Mme de Clèves	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Mme de Clèves, Nemours	La cour
570	99	Catherine de Médicis	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elle les interrompit pour faire continuer le bal	Mme de Clèves, Nemours, La Dauphine	La cour
571	99	Nemours	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours, La Dauphine	La Dauphine	La cour
572	99	Chevalier Guise	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Mme de Clèves, Nemours	Mme de Clèves	La cour
573	99	Mme de Clèves	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours	Mme de Chartres	La cour
574	100	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	chez la dauphine		Nemours	Nemours	La Dauphine, La cour
575	100	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Elle le vit jouer íæ la paume avec le Roi" (100)	Nemours, Le Roi (Henri II)	Nemours	La cour
576	100	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Elle le vit courre la bague	Nemours	Nemours	La cour
577	100	Mme de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Elle l'entendit parler	Nemours	Nemours	La cour
578	100	Valentinois	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court	La D. de Valentinois í©tait de toutes les parties de plaisir, et le Roi avait pour elle ma míÈme vivacití©...(100)	Valentinois, Le Roi (Henri II)	Valentinois, Le Roi (Henri II)	La cour
579	100	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Valentinois, Le Roi (Henri II)	Mme de Chartres	No one else present
580	100	Mme de Chartres	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	Tangent about Diane de Poitiers	Valentinois, Le Roi (Henri II)	Mme de Clèves	No one else present
581	101	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		La cour	Mme de Chartres	No one else present
582	101	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris		Catherine de Médicis, Connétable de Montmorency	Mme de Chartres	No one else present
583	101	Mme de Chartres	"Quoted" conversation	Private	Home of Clèves in Paris		Le Roi (Henri II), Catherine de Médicis, Connétable de Montmorency	Mme de Clèves	No one else present
584	101	Mme de Clèves	"Quoted" conversation	Private	Home of Clèves in Paris	Elle "n'aurait jamais soupí_onní© la haine entre la Reine et le Conní©table" (101)	Catherine de Médicis, Connétable de Montmorency	Mme de Chartres	No one else present
585	107	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la reine dauphine (107)	Mme de Chartres, La Dauphine	La Dauphine	La cour
586	108	Maréchal de Saint-André	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi (Henri II), La Dauphine, Catherine de Médicis, Marguerite de France	Le Roi (Henri II)	La cour
587	108	Monsieur le Dauphin	non-verbal exchange narrated by the narrator	Private	At court but in private quarters	La reine sa femme avait passí© tout le jour aupríÂs de lui (108)	La Dauphine	La Dauphine	No one else present
588	108	La Dauphine	non-verbal exchange narrated by the narrator	quelques autres dames qui í©taient les plus dans sa familiarití©	At court but in private quarters	Chez la reine dauphine	Mme de Clèves	Mme de Clèves	unspecified
589	108	La Dauphine	exchange of objects	closed quarters of dauphine	At court but in private quarters	chez la dauphine	Mme de Clèves	Mme de Clèves	unspecified
590	108	Prince de Condé	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	dauphine's quarters	Nemours	La Dauphine	Mme de Clèves
591	108	La Dauphine	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Monsieur le Dauphin	Prince de Condé	Mme de Clèves
592	109	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours	Prince de Condé	Mme de Clèves
593	110	Mme de Clèves	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Maréchal de Saint-André	Mme de Chartres	No one else present
594	111	Mme de Chartres	verbal exchange narrated by the narrator	Private	Home of Clèves in Paris		Maréchal de Saint-André	Mme de Clèves	No one else present
595	110	Le Roi (Henri II)	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Location unspecified	"Le Roi l'envoyait [Nemours] au devant du Duc de Ferrare" (110)	Nemours	Duc de Ferrare	unspecified
596	111	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la Reine	La Dauphine	La Dauphine	Catherine de Médicis, La cour
597	111	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	in queen's quarters	Mme de Clèves	Mme de Clèves	Mme de Chartres, Duc de Nemours
598	111	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Maréchal de Saint-André	Mme de Clèves	Mme de Chartres, Duc de Nemours
599	112	Mme de Chartres	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Mme de Clèves, Maréchal de Saint-André	La Dauphine	Mme de Clèves, Duc de Nemours
600	112	Mme de Chartres	verbal exchange narrated by the narrator	Private	Cateau-Cambrésis		Nemours	Mme de Clèves	No one else present
601	113	Mme de Chartres	"Quoted" conversation	Private	Cateau-Cambrésis		Nemours, La Dauphine	Mme de Clèves	No one else present
602	114	Mme de Clèves	non-verbal exchange narrated by the narrator	Private	At court but in private quarters	"Elle alla dans la chambre [de sa míÂre] mais elle trouve que Madame de Chartes avait un peu de fiíÂvre, de sorte qu'elle ne voulut pas lui parler." (114)	Mme de Chartres	Mme de Chartres	No one else present
603	114	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	Chez la dauphine	Nemours	Mme de Clèves	unspecified
604	114	Mme de Clèves	"Quoted" conversation	Private	At court but in private quarters	chez la dauphine	Nemours	La Dauphine	No one else present
605	115	La Dauphine	"Quoted" conversation	Private	At court but in private quarters	chez la dauphine	Nemours, Vidame	Mme de Clèves	No one else present
606	115	Mme de Clèves	non-verbal exchange narrated by the narrator	Private	Home of Clèves in Paris	Lorsqu'elle revint chez sa míÂre, elle sut qu'elle í©tait beaucoup plus mal qu'elle ne l'avait laissí©e" (115)	Mme de Chartres	Mme de Chartres	M. de Clèves
607	115	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	p.115	M. de Clèves	M. de Clèves	Mme de Clèves
608	115	Nemours	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris		Mme de Clèves	Mme de Clèves	unspecified
609	116	Médecins	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Home of Clèves in Paris	"elle reí_ut ce que Les médecins lui dirent du pí©ril oí_ elle í©tait avec un courage digne de sa vertu et de sa pií©tí©" (116)	Mme de Chartres	Mme de Chartres	unspecified
610	116	Mme de Chartres	"Quoted" conversation	Private	Home of Clèves in Paris		Nemours	Mme de Clèves	No one else present
611	116	Mme de Chartres	"Quoted" conversation	Private	Home of Clèves in Paris		Mme de Clèves, M. de Clèves	Mme de Clèves	No one else present
612	117	Mme de Clèves	physical exchange	Private	Home of Clèves in Paris	"Madame de Clèves fondait en larmes sur la main de sa míÂre, qu'elle tenait serrí©e entre les siennes, et Mme de Chartres se sentant touchí©e elle-míÈme"(117)	Mme de Chartres	Mme de Chartres	No one else present
613	117	M. de Clèves	non-verbal exchange narrated by the narrator	Private	Country Home of Clèves	"son mari ne la quittait point" [dans son affliction extríÈme] 9117)	Mme de Clèves	Mme de Clèves	No one else present
614	117	Mme de Clèves	non-verbal exchange narrated by the narrator	Private	Country Home of Clèves	"Elle lui tí©moignait plus de tendresse et d'amitií© qu'elle n'avait encore fait" (117)	M. de Clèves	M. de Clèves	No one else present
615	118	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Country Home of Clèves		Mme de Clèves	M. de Clèves	No one else present
616	118	M. de Clèves	non-verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		La cour	La cour	La cour
617	118	Mme de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Madame de Tournon	M. de Clèves	No one else present
618	118	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Madame de Tournon	Mme de Clèves	No one else present
619	119	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Madame de Tournon, Sancerre	Mme de Clèves	No one else present
620	119	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Madame de Tournon, Sancerre, Estouteville	Mme de Clèves	No one else present
621	121	Sancerre	Tangent told in voice of character	Private	Other private home of a character, not Clèves	Sancerre secretly in love with Mme de Tournon and only sees her at sister's house	Madame de Tournon	Madame de Tournon	soeur de Sancerre
622	121	La cour	Tangent told in voice of character	Public (in a public space such as court, where there is no expectation of intimacy)	Court	M. de Cleves talking about court talking about king and duchess	Valentinois, Le Roi (Henri II)	La cour	La cour
623	121	M. de Clèves	Tangent told in voice of character	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Valentinois, Le Roi (Henri II)	Sancerre	La cour
624	121	Monsieur d'Anville	Tangent told in voice of character	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Valentinois, Le Roi (Henri II), Comte de Brissac	M. de Clèves	La cour
625	122	M. de Clèves	Tangent told in voice of character	at the court but told in secret	Court		Valentinois, Le Roi (Henri II), Comte de Brissac	Sancerre	La cour
626	122	Sancerre	Tangent told in voice of character	Private	Other private home of a character, not Clèves	At Mme de Tournon's	Valentinois, Le Roi (Henri II), Comte de Brissac	Madame de Tournon	No one else present
627	122	Madame de Tournon	Tangent told in voice of character	Private	Other private home of a character, not Clèves	At home of la belle soeur de Cleves	Valentinois, Le Roi (Henri II), Comte de Brissac	Belle soeur de Cleves	M. de Clèves
628	121	Belle soeur de Cleves	Tangent told in voice of character	Private	Other private home of a character, not Clèves		Valentinois, Le Roi (Henri II), Comte de Brissac	M. de Clèves	Madame de Tournon
629	121	M. de Clèves	Tangent told in voice of character	Private	Paris	"je la remis dans son carrosse" (123)	Valentinois, Le Roi (Henri II), Sancerre	Madame de Tournon	No one else present
630	121	M. de Clèves	Tangent told in voice of character	Private	Location unspecified		Madame de Tournon, Sancerre	Sancerre	No one else present
631	123	Sancerre	Tangent told in voice of character	Private	Location unspecified		Madame de Tournon	M. de Clèves	No one else present
632	123	M. de Clèves	Tangent told in voice of character	Private	Location unspecified		Madame de Tournon	Sancerre	No one else present
633	124	Sancerre	Tangent told in voice of character	Private	Other private home of a character, not Clèves		M. de Clèves	Madame de Tournon	No one else present
634	124	Madame de Tournon	Tangent told in voice of character	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		La cour	Belle soeur de Cleves	La cour
635	124	impersonal character	Tangent told in voice of character	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters	chez la belle soeur de Cleves	Madame de Tournon	Madame de Tournon	La cour
636	124	Sancerre	Tangent told in voice of character	Private	Location unspecified		Madame de Tournon	M. de Clèves	No one else present
637	124	M. de Clèves	Tangent told in voice of character	Private	Location unspecified		Madame de Tournon	Sancerre	No one else present
638	125	M. de Clèves	Tangent told in voice of character	Private	Location unspecified		Mme de Clèves	Sancerre	No one else present
639	125	Sancerre	Tangent told in voice of character	Private	Location unspecified		Madame de Tournon	Madame de Tournon	No one else present
640	125	impersonal character	Tangent told in voice of character	Public (in a public space such as court, where there is no expectation of intimacy)	Paris		Madame de Tournon	M. de Clèves	unspecified
641	126	Sancerre	Tangent told in voice of character	Private	Other private home of a character, not Clèves	At Sancerre's house	Madame de Tournon	M. de Clèves	No one else present
642	126	M. de Clèves	physical exchange	Public (in a public space such as court, where there is no expectation of intimacy)	Court	"Je fus contraint de le quitter pour aller chez le Roi" (126)	M. de Clèves	Le Roi (Henri II)	La cour
643	127	Sancerre	Tangent told in voice of character	Private	Other private home of a character, not Clèves		Madame de Tournon, Estouteville	M. de Clèves	No one else present
644	127	Estouteville	Tangent told in voice of character	Private	Other private home of a character, not Clèves		Madame de Tournon	Sancerre	No one else present
645	127	Madame de Tournon	Tangent told in voice of character	Private	Other private home of a character, not Clèves	Tournon forbides Estouteville of telling Sancerre about their relationship	Sancerre	Estouteville	No one else present
646	129	Sancerre	Tangent told in voice of character	Private	Other private home of a character, not Clèves		Estouteville	M. de Clèves	No one else present
647	129	M. de Clèves	Tangent told in voice of character	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Frère de Sancerre	Le Frère de Sancerre	Le Roi (Henri II)
648	129	M. de Clèves	Tangent told in voice of character	Private	Anti-chambre de chez Sancerre		Sancerre	Le Frère de Sancerre	No one else present
649	130	M. de Clèves	Tangent told in voice of character	Private	Other private home of a character, not Clèves		Le Frère de Sancerre, Sancerre, Estouteville	Nous donnâmes des ordres	Le Frère de Sancerre
650	130	Mme de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Madame de Tournon	M. de Clèves	No one else present
651	130	M. de Clèves	"Quoted" conversation	Private	Country Home of Clèves		Madame de Tournon, Sancerre, Estouteville	Mme de Clèves	No one else present
652	131	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court	Chez la princesse at court	Nemours	Mme de Clèves	No one else present
653	131	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours, Monsieur d'Anville	Mme de Clèves	unspecified
654	131	Lignerolles	exchange of objects	Private	Court		Nemours, Elizabeth (Reine d'Angleterre)	Le Roi (Henri II)	No one else present
655	131	Le Roi (Henri II)	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Nemours, Lignerolles, Elizabeth (Reine d'Angleterre)	Nemours	unspecified
656	131	Nemours	verbal exchange narrated by the narrator	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Lignerolles, Elizabeth (Reine d'Angleterre)	Le Roi (Henri II)	unspecified
657	131	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi d'Espagne, Elizabeth (Reine d'Angleterre)	Le Roi (Henri II)	unspecified
658	132	Le Roi (Henri II)	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Le Roi d'Espagne, Elizabeth (Reine d'Angleterre)	Nemours	unspecified
659	132	Le Roi (Henri II)	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Les belles-soeurs de la princesse	Nemours	Monsieur d'Anville, Vidame
660	132	Nemours	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Elizabeth (Reine d'Angleterre), Marie, soeur d'Elizabeth, Milord Courtenay	Le Roi (Henri II)	Monsieur d'Anville, Vidame
661	132	Le Roi (Henri II)	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	Court		Monsieur le Dauphin, Elizabeth (Reine d'Angleterre), Milord Courtenay, Ambassadeurs du Roi	Nemours	Monsieur d'Anville, Vidame
662	132	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours, Vidame, Monsieur d'Anville	Mme de Clèves	unspecified
663	132	Vidame	verbal exchange narrated by the narrator	Dauphine recounts this exchange	Location unspecified	Dauphine tells princess about this exchange (see next data entry)	Nemours	Mme de Martigues	unspecified
664	132	La Dauphine	"Quoted" conversation	Private	At court but in private quarters		Nemours, Vidame, madame de Martigues	Mme de Clèves	unspecified
665	133	La Dauphine	"Quoted" conversation	Public (in a public space such as court, where there is no expectation of intimacy)	At court but in private quarters		Nemours, Monsieur d'Anville	Mme de Clèves	unspecified
666	133	Mme de Clèves	"Quoted" conversation	Private	At court but in private quarters		Nemours, La Dauphine, Monsieur d'Anville	La Dauphine	No one else present
667	133	La Dauphine	"Quoted" conversation	Private	At court but in private quarters		Nemours	Mme de Clèves	No one else present
